,open,high,low,close,adjusted_close,volume,dividend_amount
2018-12-31,3.1000,3.1440,2.9050,3.0490,2.2533,108477335,0.0000
2019-01-31,3.0280,3.2000,2.9860,3.1900,2.3575,116800426,0.0000
2019-02-28,3.1920,3.2860,3.1420,3.2250,2.3834,116248945,0.0000
2019-03-29,3.2400,3.5290,3.1810,3.5050,2.5903,192556750,0.0000
2019-04-30,3.5050,3.5590,3.3280,3.3790,2.4972,125941050,0.0000
2019-05-31,3.3610,3.3840,3.0890,3.2590,2.5561,133037043,0.1857
2019-06-28,3.2290,3.4900,3.2150,3.3420,2.6212,146281197,0.0000
2019-07-31,3.3670,3.4530,3.2770,3.3210,2.6047,153654320,0.0000
2019-08-30,3.3180,3.4550,3.2670,3.4380,2.6965,146174930,0.0000
2019-09-30,3.4160,3.6030,3.3900,3.5620,2.7938,169608940,0.0000
2019-10-31,3.5750,3.7000,3.5050,3.6900,2.8942,178815339,0.0000
2019-11-29,3.6720,3.7750,3.6050,3.6700,2.8785,155770122,0.0000
2019-12-31,3.6600,3.9180,3.5510,3.8640,3.0306,159152037,0.0000
2020-01-31,3.8610,4.5850,3.7850,4.5240,3.5483,188311834,0.0000
2020-02-28,4.4870,4.9870,4.1780,4.2200,3.3098,251762595,0.0000
2020-03-31,4.3990,4.7710,2.9940,3.6580,2.8691,544191482,0.0000
2020-04-30,3.5640,3.8780,3.4910,3.8500,3.0196,230523583,0.0000
2020-05-29,3.7820,4.3300,3.7540,4.2230,3.4730,225921194,0.1857
2020-06-30,4.2690,4.4580,3.9930,4.2500,3.4952,223445247,0.0000
2020-07-31,4.2510,4.6420,4.2280,4.2850,3.6057,204895890,0.0000
2020-08-31,4.2500,4.4770,4.2210,4.2420,3.5695,123110432,0.0000
2020-09-30,4.2700,4.4500,4.0930,4.1950,3.5299,151036500,0.0000
2020-10-30,4.2270,4.7080,4.1100,4.2320,3.5611,137533205,0.0000
2020-11-30,4.2500,4.6200,4.1670,4.4680,3.7597,167241060,0.0000
